user_id,session_id,participant_id,age_group,gender,education,bfi_version,bfi_q1,bfi_q2,bfi_q3,bfi_q4,bfi_q5,bfi_q6,bfi_q7,bfi_q8,bfi_q9,bfi_q10,bfi_q11,bfi_q12,bfi_q13,bfi_q14,bfi_q15,bfi_q16,bfi_q17,bfi_q18,bfi_q19,bfi_q20,bfi_q21,bfi_q22,bfi_q23,bfi_q24,bfi_q25,bfi_q26,bfi_q27,bfi_q28,bfi_q29,bfi_q30,bfi_O_raw,bfi_C_raw,bfi_E_raw,bfi_A_raw,bfi_N_raw,bfi_O_100,bfi_C_100,bfi_E_100,bfi_A_100,bfi_N_100,facet_E_sociability_raw,facet_E_assertiveness_raw,facet_E_energy_raw,facet_A_compassion_raw,facet_A_respectfulness_raw,facet_A_trust_raw,facet_C_organization_raw,facet_C_productiveness_raw,facet_C_responsibility_raw,facet_N_anxiety_raw,facet_N_depression_raw,facet_N_emotional_volatility_raw,facet_O_aesthetic_sensitivity_raw,facet_O_intellectual_curiosity_raw,facet_O_creative_imagination_raw,facet_E_sociability_100,facet_E_assertiveness_100,facet_E_energy_100,facet_A_compassion_100,facet_A_respectfulness_100,facet_A_trust_100,facet_C_organization_100,facet_C_productiveness_100,facet_C_responsibility_100,facet_N_anxiety_100,facet_N_depression_100,facet_N_emotional_volatility_100,facet_O_aesthetic_sensitivity_100,facet_O_intellectual_curiosity_100,facet_O_creative_imagination_100
P_098f93b00b,S_P_098f93b00b,P_098f93b00b,18-22岁,男,身份类型：本科生；补充说明：实习生,BFI-2-S,3.0,5.0,1.0,1.0,4.0,2.0,5.0,3.0,2.0,5.0,2.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,1.0,2.0,3.33,4.33,2.5,2.67,1.17,58.25,83.25,37.5,41.75,4.25,3.0,2.0,2.5,3.0,3.0,2.0,5.0,4.0,4.0,1.0,1.5,1.0,4.0,2.0,4.0,50.0,25.0,37.5,50.0,50.0,25.0,100.0,75.0,75.0,0.0,12.5,0.0,75.0,25.0,75.0
P_0a4943debf,S_P_0a4943debf,P_0a4943debf,,,,BFI-2-S,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,50.0,50.0,50.0,50.0,50.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
P_0c7737dd1e,S_P_0c7737dd1e,P_0c7737dd1e,18-22岁,女,身份类型：本科生,BFI-2-S,2.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,2.0,4.17,2.17,3.0,2.83,3.0,79.25,29.25,50.0,45.75,50.0,3.5,2.5,3.0,3.0,3.0,2.5,3.0,2.0,1.5,3.5,3.0,2.5,4.5,3.5,4.5,62.5,37.5,50.0,50.0,50.0,37.5,50.0,25.0,12.5,62.5,50.0,37.5,87.5,62.5,87.5
P_0fd14d7617,S_P_0fd14d7617,P_0fd14d7617,18-22岁,男,身份类型：本科生,BFI-2-S,3.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.33,3.0,2.67,3.67,2.0,58.25,50.0,41.75,66.75,25.0,2.5,3.0,2.5,3.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,37.5,50.0,37.5,50.0,75.0,75.0,25.0,50.0,75.0,25.0,25.0,25.0,50.0,50.0,75.0
P_12fae91e7c,S_P_12fae91e7c,P_12fae91e7c,,,,BFI-2-S,3.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,4.83,4.0,3.83,1.17,75.0,95.75,75.0,70.75,4.25,4.0,3.5,4.5,2.5,5.0,4.0,4.5,5.0,5.0,1.5,1.0,1.0,2.0,5.0,5.0,75.0,62.5,87.5,37.5,100.0,75.0,87.5,100.0,100.0,12.5,0.0,0.0,25.0,100.0,100.0
P_1b72b1682e,S_P_1b72b1682e,P_1b72b1682e,18-22岁,女,身份类型：本科生；补充说明：实习生,BFI-2-S,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,3.67,3.33,2.17,3.5,3.5,66.75,58.25,29.25,62.5,62.5,2.0,2.5,2.0,3.0,4.0,3.5,3.5,3.0,3.5,3.5,4.0,3.0,4.0,3.0,4.0,25.0,37.5,25.0,50.0,75.0,62.5,62.5,50.0,62.5,62.5,75.0,50.0,75.0,50.0,75.0
P_261360968e,S_P_261360968e,P_261360968e,18-22岁,女,身份类型：本科生,BFI-2-S,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.67,3.0,3.67,3.17,3.67,66.75,50.0,66.75,54.25,66.75,3.0,4.0,4.0,4.0,3.0,2.5,2.5,3.0,3.5,4.0,3.5,3.5,4.0,3.5,3.5,50.0,75.0,75.0,75.0,50.0,37.5,37.5,50.0,62.5,75.0,62.5,62.5,75.0,62.5,62.5
P_2b8083dbc2,S_P_2b8083dbc2,P_2b8083dbc2,,,,BFI-2-S,1.0,2.0,5.0,4.0,3.0,2.0,1.0,2.0,3.0,5.0,4.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,1.0,3.0,2.83,3.17,2.5,3.17,50.0,45.75,54.25,37.5,54.25,4.0,3.0,2.5,2.0,3.0,2.5,3.0,3.0,2.5,3.0,3.0,3.5,3.0,2.5,3.5,75.0,50.0,37.5,25.0,50.0,37.5,50.0,50.0,37.5,50.0,50.0,62.5,50.0,37.5,62.5
P_2d1ba28571,S_P_2d1ba28571,P_2d1ba28571,18岁以下,女,身份类型：本科生,BFI-2-S,2.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,5.0,3.0,2.0,4.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,5.0,2.0,3.67,2.5,2.67,3.5,3.67,66.75,37.5,41.75,62.5,66.75,3.0,3.0,2.0,4.5,3.5,2.5,4.0,1.5,2.0,3.5,3.0,4.5,4.5,2.5,4.0,50.0,50.0,25.0,87.5,62.5,37.5,75.0,12.5,25.0,62.5,50.0,87.5,87.5,37.5,75.0
P_317143adf5,S_P_317143adf5,P_317143adf5,18-22岁,男,身份类型：研究生,BFI-2-S,1.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,4.0,1.0,4.0,5.0,4.0,1.0,4.67,2.0,4.83,4.0,4.17,91.75,25.0,95.75,75.0,79.25,5.0,4.5,5.0,5.0,3.5,3.5,1.5,1.5,3.0,5.0,4.5,3.0,5.0,4.0,5.0,100.0,87.5,100.0,100.0,62.5,62.5,12.5,12.5,50.0,100.0,87.5,50.0,100.0,75.0,100.0
