session_id,user_id,session_score,session_confidence,old_profile,updated_profile,alpha,aggregation_status
S_P_098f93b00b,P_098f93b00b,"{""personality_agreeableness"": 87.8044, ""personality_conscientiousness"": 91.731, ""personality_extraversion"": 21.3824, ""personality_neuroticism"": 10.7097, ""personality_openness"": 63.3769}",0.6583,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 57.56, ""personality_conscientiousness"": 58.35, ""personality_extraversion"": 44.28, ""personality_neuroticism"": 42.14, ""personality_openness"": 52.68}",0.2,ok
S_P_0a4943debf,P_0a4943debf,"{""personality_agreeableness"": 76.4762, ""personality_conscientiousness"": 84.5793, ""personality_extraversion"": 7.9068, ""personality_neuroticism"": 23.274, ""personality_openness"": 48.3421}",0.562,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 55.3, ""personality_conscientiousness"": 56.92, ""personality_extraversion"": 41.58, ""personality_neuroticism"": 44.65, ""personality_openness"": 49.67}",0.2,ok
S_P_0c7737dd1e,P_0c7737dd1e,"{""personality_agreeableness"": 74.6118, ""personality_conscientiousness"": 94.7609, ""personality_extraversion"": 15.7659, ""personality_neuroticism"": 21.9096, ""personality_openness"": 59.6076}",0.5717,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 54.92, ""personality_conscientiousness"": 58.95, ""personality_extraversion"": 43.15, ""personality_neuroticism"": 44.38, ""personality_openness"": 51.92}",0.2,ok
S_P_0fd14d7617,P_0fd14d7617,"{""personality_agreeableness"": 68.6574, ""personality_conscientiousness"": 87.5766, ""personality_extraversion"": 24.5189, ""personality_neuroticism"": 30.0, ""personality_openness"": 67.5969}",0.61,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 53.73, ""personality_conscientiousness"": 57.52, ""personality_extraversion"": 44.9, ""personality_neuroticism"": 46.0, ""personality_openness"": 53.52}",0.2,ok
S_P_12fae91e7c,P_12fae91e7c,"{""personality_agreeableness"": 78.2355, ""personality_conscientiousness"": 94.7719, ""personality_extraversion"": 9.3633, ""personality_neuroticism"": 21.5373, ""personality_openness"": 58.7462}",0.5583,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 55.65, ""personality_conscientiousness"": 58.95, ""personality_extraversion"": 41.87, ""personality_neuroticism"": 44.31, ""personality_openness"": 51.75}",0.2,ok
S_P_1b72b1682e,P_1b72b1682e,"{""personality_agreeableness"": 77.8732, ""personality_conscientiousness"": 92.4308, ""personality_extraversion"": 17.2205, ""personality_neuroticism"": 20.4111, ""personality_openness"": 60.7514}",0.6283,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 55.57, ""personality_conscientiousness"": 58.49, ""personality_extraversion"": 43.44, ""personality_neuroticism"": 44.08, ""personality_openness"": 52.15}",0.2,ok
S_P_261360968e,P_261360968e,"{""personality_agreeableness"": 78.6332, ""personality_conscientiousness"": 91.1565, ""personality_extraversion"": 16.2297, ""personality_neuroticism"": 21.5824, ""personality_openness"": 62.9186}",0.6267,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 55.73, ""personality_conscientiousness"": 58.23, ""personality_extraversion"": 43.25, ""personality_neuroticism"": 44.32, ""personality_openness"": 52.58}",0.2,ok
S_P_2b8083dbc2,P_2b8083dbc2,"{""personality_agreeableness"": 100.0, ""personality_conscientiousness"": 100.0, ""personality_extraversion"": 26.6, ""personality_neuroticism"": 0.0, ""personality_openness"": 65.6}",0.77,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 60.0, ""personality_conscientiousness"": 60.0, ""personality_extraversion"": 45.32, ""personality_neuroticism"": 40.0, ""personality_openness"": 53.12}",0.2,ok
S_P_2d1ba28571,P_2d1ba28571,"{""personality_agreeableness"": 69.7095, ""personality_conscientiousness"": 91.3582, ""personality_extraversion"": 17.2713, ""personality_neuroticism"": 28.5246, ""personality_openness"": 61.217}",0.61,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 53.94, ""personality_conscientiousness"": 58.27, ""personality_extraversion"": 43.45, ""personality_neuroticism"": 45.7, ""personality_openness"": 52.24}",0.2,ok
S_P_317143adf5,P_317143adf5,"{""personality_agreeableness"": 75.0325, ""personality_conscientiousness"": 86.1211, ""personality_extraversion"": 22.8365, ""personality_neuroticism"": 24.3516, ""personality_openness"": 60.4953}",0.6233,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 55.01, ""personality_conscientiousness"": 57.22, ""personality_extraversion"": 44.57, ""personality_neuroticism"": 44.87, ""personality_openness"": 52.1}",0.2,ok
S_P_3a2fbfd105,P_3a2fbfd105,"{""personality_agreeableness"": 71.5873, ""personality_conscientiousness"": 93.5217, ""personality_extraversion"": 9.9077, ""personality_neuroticism"": 28.6919, ""personality_openness"": 60.6792}",0.5733,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 54.32, ""personality_conscientiousness"": 58.7, ""personality_extraversion"": 41.98, ""personality_neuroticism"": 45.74, ""personality_openness"": 52.14}",0.2,ok
S_P_3bc017602d,P_3bc017602d,"{""personality_agreeableness"": 76.2219, ""personality_conscientiousness"": 93.5404, ""personality_extraversion"": 12.9075, ""personality_neuroticism"": 21.9565, ""personality_openness"": 60.3639}",0.575,"{""personality_agreeableness"": 50.0, ""personality_conscientiousness"": 50.0, ""personality_extraversion"": 50.0, ""personality_neuroticism"": 50.0, ""personality_openness"": 50.0}","{""personality_agreeableness"": 55.24, ""personality_conscientiousness"": 58.71, ""personality_extraversion"": 42.58, ""personality_neuroticism"": 44.39, ""personality_openness"": 52.07}",0.2,ok
