session_id,user_id,participant_id,bfi_version,scene_count,completed_scene_count,event_count,valid_event_count,low_quality_event_count,main_answer_count,followup_answer_count,created_at_min,created_at_max,is_effective_session,is_complete_session,quality_summary
S_P_098f93b00b,P_098f93b00b,P_098f93b00b,BFI-2-S,6,6,12,12,0,6,6,2026-06-08T00:38:55+08:00,2026-06-08T00:55:19+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_0a4943debf,P_0a4943debf,P_0a4943debf,BFI-2-S,6,6,12,10,2,6,6,2026-06-07T20:09:53+08:00,2026-06-07T20:12:20+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {""raw_low_quality"": 2, ""repeated_chars"": 1}}"
S_P_0c7737dd1e,P_0c7737dd1e,P_0c7737dd1e,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T20:27:23+08:00,2026-06-07T20:34:08+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_0fd14d7617,P_0fd14d7617,P_0fd14d7617,BFI-2-S,1,1,2,2,0,1,1,2026-06-07T23:15:13+08:00,2026-06-07T23:15:13+08:00,False,False,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_12fae91e7c,P_12fae91e7c,P_12fae91e7c,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T21:12:39+08:00,2026-06-07T21:21:02+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_1b72b1682e,P_1b72b1682e,P_1b72b1682e,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T19:52:55+08:00,2026-06-07T20:23:38+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_261360968e,P_261360968e,P_261360968e,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T22:10:55+08:00,2026-06-07T22:26:00+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_2b8083dbc2,P_2b8083dbc2,P_2b8083dbc2,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T19:25:20+08:00,2026-06-07T19:25:49+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_2d1ba28571,P_2d1ba28571,P_2d1ba28571,BFI-2-S,6,6,12,12,0,6,6,2026-06-08T00:40:46+08:00,2026-06-08T01:12:37+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_317143adf5,P_317143adf5,P_317143adf5,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T19:53:00+08:00,2026-06-07T20:04:03+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_3a2fbfd105,P_3a2fbfd105,P_3a2fbfd105,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T20:35:54+08:00,2026-06-07T20:44:09+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_3bc017602d,P_3bc017602d,P_3bc017602d,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T20:29:39+08:00,2026-06-07T21:00:40+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_41b64c1244,P_41b64c1244,P_41b64c1244,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T19:44:56+08:00,2026-06-07T20:09:02+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_4674ab2c43,P_4674ab2c43,P_4674ab2c43,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T21:03:27+08:00,2026-06-07T21:16:42+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_468446e947,P_468446e947,P_468446e947,BFI-2-S,2,2,4,4,0,2,2,2026-06-07T23:15:22+08:00,2026-06-07T23:18:26+08:00,False,False,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_4c7499a8e1,P_4c7499a8e1,P_4c7499a8e1,BFI-2-S,6,6,12,12,0,6,6,2026-06-08T10:29:39+08:00,2026-06-08T10:48:18+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_4cbb7f1057,P_4cbb7f1057,P_4cbb7f1057,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T19:50:13+08:00,2026-06-07T20:06:28+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_5a3e4b9932,P_5a3e4b9932,P_5a3e4b9932,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T20:47:45+08:00,2026-06-07T20:58:49+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_61be4ea8a2,P_61be4ea8a2,P_61be4ea8a2,BFI-2-S,6,6,12,12,0,6,6,2026-06-08T09:26:18+08:00,2026-06-08T09:37:30+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_64e36cb44f,P_64e36cb44f,P_64e36cb44f,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T21:08:20+08:00,2026-06-07T21:22:51+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_67e7565388,P_67e7565388,P_67e7565388,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T21:15:35+08:00,2026-06-07T21:23:49+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_6ecb074317,P_6ecb074317,P_6ecb074317,BFI-2-S,2,2,4,4,0,2,2,2026-06-07T21:18:44+08:00,2026-06-07T21:20:34+08:00,False,False,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_7c4fcf4c91,P_7c4fcf4c91,P_7c4fcf4c91,BFI-2-S,1,1,2,2,0,1,1,2026-06-09T14:33:17+08:00,2026-06-09T14:33:17+08:00,False,False,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_7f237bb8b9,P_7f237bb8b9,P_7f237bb8b9,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T21:49:09+08:00,2026-06-07T21:56:55+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_804d5451c2,P_804d5451c2,P_804d5451c2,BFI-2-S,5,5,10,10,0,5,5,2026-06-08T23:53:42+08:00,2026-06-09T00:07:06+08:00,True,False,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_8ef3d8ec3f,P_8ef3d8ec3f,P_8ef3d8ec3f,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T20:45:03+08:00,2026-06-07T20:56:23+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_8f901ab43e,P_8f901ab43e,P_8f901ab43e,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T21:29:29+08:00,2026-06-07T21:32:25+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_910f62751c,P_910f62751c,P_910f62751c,BFI-2-S,6,6,12,12,0,6,6,2026-06-08T09:39:37+08:00,2026-06-08T11:33:35+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_99f74b3824,P_99f74b3824,P_99f74b3824,BFI-2-S,6,6,12,12,0,6,6,2026-06-08T17:30:42+08:00,2026-06-08T17:40:35+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_c5b4fe504a,P_c5b4fe504a,P_c5b4fe504a,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T20:00:10+08:00,2026-06-07T20:17:40+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_c7408dd487,P_c7408dd487,P_c7408dd487,BFI-2-S,6,6,12,6,6,6,6,2026-06-07T20:21:12+08:00,2026-06-07T20:25:04+08:00,True,False,"{""complete_bfi"": true, ""invalid_reasons_count"": {""raw_low_quality"": 6, ""repeated_chars"": 5}}"
S_P_d28ed72b52,P_d28ed72b52,P_d28ed72b52,BFI-2-S,1,1,2,2,0,1,1,2026-06-07T20:06:34+08:00,2026-06-07T20:06:34+08:00,False,False,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_da97514638,P_da97514638,P_da97514638,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T20:17:41+08:00,2026-06-07T20:25:31+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_ddeb7f5649,P_ddeb7f5649,P_ddeb7f5649,BFI-2-S,6,6,12,12,0,6,6,2026-06-07T20:03:16+08:00,2026-06-07T20:17:32+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_ec2d573723,P_ec2d573723,P_ec2d573723,BFI-2-S,6,6,12,12,0,6,6,2026-06-08T08:27:28+08:00,2026-06-08T08:40:50+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
S_P_f2f8dabf10,P_f2f8dabf10,P_f2f8dabf10,BFI-2-S,6,6,12,12,0,6,6,2026-06-09T11:42:28+08:00,2026-06-09T12:00:22+08:00,True,True,"{""complete_bfi"": true, ""invalid_reasons_count"": {}}"
